N,P,K,temperature,humidity,ph,rainfall,label
117.35,47.97,52.32,26.72,51.36,6.56,97.55,Cotton
98.06,43.27,55.9,29.55,64.42,6.08,67.22,Watermelon
31.74,130.49,201.3,23.21,65.51,6.69,64.41,Grapes
97.75,41.74,45.73,25.47,81.52,6.47,287.61,Rice
139.71,48.16,45.75,26.02,59.13,6.13,60.09,Cotton
21.42,13.48,19.01,30.24,83.02,6.43,185.24,Coconut
101.77,60.87,59.94,15.67,69.92,5.67,88.83,Potato
100.65,41.61,48.72,21.05,69.63,6.81,245.05,Coffee
24.64,11.33,19.28,28.02,74.15,6.16,177.59,Orange
77.2,44.48,38.97,20.64,61.57,6.51,97.62,Maize
21.55,144.49,239.45,15.47,70.72,5.96,181.38,Apple
81.42,59.95,57.45,22.08,82.57,6.07,203.43,Rice
31.2,129.94,239.09,16.95,68.26,5.73,178.53,Apple
56.3,75.56,85.22,21.88,61.77,7.05,82.1,Soybean
46.72,65.89,97.46,23.58,50.3,6.2,48.6,Chickpea
29.72,15.13,15.82,28.29,87.16,5.96,169.27,Coconut
82.71,52.13,43.34,22.97,64.4,6.09,73.19,Onion
91.34,58.97,56.85,29.78,61.56,6.11,59.71,Watermelon
124.91,48.26,57.2,23.27,79.43,6.92,107.61,Cotton
127.33,41.52,57.02,25.46,64.42,6.89,109.48,Cotton
101.92,57.64,48.89,26.3,54.18,6.01,74.72,Cotton
82.08,30.26,45.91,19.29,62.62,6.24,243.25,Coffee
98.01,50.85,50.55,19.27,60.02,6.81,65.25,Tomato
100.67,76.4,50.73,30.85,87.32,6.45,154.1,Banana
67.98,40.4,43.08,31.09,61.46,6.63,123.04,Mango
60.91,52.97,45.51,25.25,65.9,6.7,84.35,Mango
50.24,73.6,70.83,20.85,74.33,6.11,64.28,Soybean
127.16,57.47,48.65,24.71,72.93,6.87,64.26,Cotton
55.41,62.21,80.55,19.92,45.39,7.23,68.43,Chickpea
54.73,77.66,74.05,25.88,74.02,7.02,84.49,Soybean
80.91,42.7,43.47,19.45,52.92,6.95,79.65,Wheat
82.4,49.76,55.48,25.21,72.23,6.24,74.7,Watermelon
91.04,37.01,34.34,20.27,66.96,6.66,151.56,Coffee
80.55,34.65,42.34,17.64,89.83,5.97,245.25,Tea
85.06,39.1,45.07,11.99,80.94,5.32,163.42,Tea
32.13,137.54,225.52,21.29,71.07,6.98,86.61,Grapes
118.5,45.04,49.94,22.11,82.85,5.56,241.43,Rice
107.6,99.14,41.67,31.31,77.52,6.09,185.14,Banana
25.67,133.01,232.47,15.14,72.99,6.5,89.93,Grapes
78.01,57.35,44.67,32.78,78.26,6.97,137.36,Papaya
53.03,74.77,76.31,26.45,67.9,7.07,71.95,Soybean
93.45,58.62,44.92,23.19,66.86,6.82,60.32,Tomato
26.32,126.14,230.66,22.02,66.63,6.51,69.8,Grapes
104.35,98.51,59.98,27.6,80.98,6.79,199.86,Banana
34.1,134.1,226.71,17.56,63.39,5.53,177.91,Apple
27.3,133.65,224.93,15.74,70.07,5.77,78.7,Grapes
119.2,39.85,36.58,20.7,64.8,6.08,162.89,Coffee
77.09,41.58,42.22,16.15,62.16,6.37,52.89,Wheat
108.11,69.12,60.63,17.0,79.07,6.14,100.87,Potato
80.42,47.23,39.03,15.04,68.03,6.19,212.44,Coffee
46.33,65.16,80.75,22.08,44.6,6.22,66.15,Chickpea
104.41,55.54,76.95,21.82,78.61,6.25,170.66,Sugarcane
37.27,131.46,218.55,19.15,62.98,6.94,70.22,Grapes
28.61,17.53,21.07,27.54,77.3,6.82,153.92,Coconut
129.09,59.62,43.11,23.03,56.35,7.19,71.21,Cotton
36.85,131.27,231.56,23.92,68.68,6.86,68.87,Grapes
42.98,48.03,56.0,25.63,63.88,6.97,119.28,Mango
43.8,60.78,77.84,28.02,66.82,6.67,100.54,Soybean
107.53,53.31,49.38,30.47,71.38,6.33,181.37,Jute
84.82,32.37,30.27,14.55,83.96,5.69,194.36,Tea
96.12,42.63,40.65,11.73,82.11,4.68,200.58,Tea
28.91,17.19,10.73,27.32,69.86,7.27,160.07,Orange
31.7,76.32,39.77,18.89,40.95,6.8,64.18,Lentil
97.76,40.64,47.47,23.96,71.65,6.81,182.69,Coffee
98.75,48.58,52.49,31.25,70.24,6.67,155.18,Jute
48.44,59.07,41.07,29.67,63.3,6.46,87.88,Mango
45.23,53.82,47.73,31.49,53.44,6.18,79.08,Mango
101.29,40.11,47.77,24.3,81.38,6.92,246.84,Jute
75.02,49.12,46.89,21.94,65.19,6.85,98.64,Onion
114.35,44.97,38.78,20.49,63.21,6.67,167.93,Coffee
127.75,45.74,78.8,27.62,89.45,6.06,128.51,Sugarcane
99.33,49.74,45.09,17.24,70.77,6.99,235.75,Coffee
42.27,73.43,80.41,27.72,70.4,7.28,93.11,Soybean
82.01,51.46,58.06,16.48,64.65,5.78,136.24,Potato
27.75,15.74,23.91,31.47,84.25,6.05,221.3,Coconut
47.96,44.88,59.46,27.14,72.3,6.76,133.58,Mango
78.34,49.78,46.84,34.24,60.73,6.58,154.89,Papaya
60.48,58.81,53.27,30.97,70.69,6.22,118.01,Mango
79.79,45.32,32.41,26.45,58.62,6.43,71.13,Maize
39.4,72.69,35.28,15.84,43.21,6.73,57.25,Lentil
29.68,126.27,222.07,23.41,79.94,6.15,66.01,Grapes
84.09,46.34,43.47,15.18,55.29,6.31,74.15,Wheat
82.83,58.0,61.54,19.27,79.48,5.94,84.23,Potato
33.01,142.34,235.76,24.2,61.9,6.32,87.03,Grapes
26.96,73.56,31.31,17.67,57.57,6.8,66.34,Lentil
85.22,30.83,32.97,24.8,89.3,4.51,292.77,Tea
109.69,48.28,44.65,25.42,76.17,7.07,94.8,Cotton
42.58,78.92,94.24,23.19,49.99,6.71,44.4,Chickpea
96.71,41.59,54.63,19.69,81.45,6.82,92.45,Tomato
33.16,144.99,201.93,24.77,68.14,6.81,89.12,Grapes
83.17,51.32,58.16,27.17,65.93,6.14,46.06,Watermelon
69.37,41.47,45.68,25.94,56.21,6.26,135.45,Mango
106.76,56.65,51.48,27.73,72.73,6.3,47.3,Watermelon
45.34,68.8,85.92,26.1,62.21,6.94,71.2,Soybean
135.06,44.03,41.56,28.09,75.06,6.24,111.26,Cotton
117.15,55.17,47.44,23.2,71.87,6.63,118.88,Cotton
86.19,59.03,58.16,18.44,65.0,6.14,141.42,Potato
89.45,45.67,38.37,24.29,74.99,6.57,98.08,Maize
62.97,40.62,45.19,25.34,86.38,6.24,155.73,Papaya
22.19,14.29,16.52,25.91,60.01,7.41,116.45,Orange
77.42,44.63,38.79,14.47,79.12,4.61,269.8,Tea
53.1,48.63,44.6,30.16,67.6,6.94,190.59,Papaya
71.38,48.66,42.31,21.71,73.69,5.57,70.51,Maize
66.15,45.73,46.18,22.07,65.13,5.55,63.47,Maize
66.14,51.82,43.72,18.32,67.1,6.21,53.56,Onion
74.15,39.03,31.12,21.68,56.05,6.33,75.36,Maize
33.0,73.07,39.12,15.03,44.96,6.93,77.29,Lentil
36.09,74.73,38.51,19.47,43.46,6.05,49.86,Lentil
43.4,51.4,57.24,27.82,74.86,6.86,75.93,Mango
22.71,16.15,19.77,16.67,64.24,6.71,196.86,Orange
50.49,64.58,82.43,20.54,45.11,6.76,78.66,Chickpea
46.68,71.59,97.78,21.99,52.63,6.78,42.05,Chickpea
141.92,56.1,76.46,29.33,80.89,6.3,161.68,Sugarcane
70.72,36.26,46.4,18.31,79.01,4.93,194.71,Tea
37.73,71.25,25.04,24.55,49.67,6.33,47.26,Lentil
71.18,40.44,55.49,19.21,71.69,6.61,85.7,Tomato
115.22,83.01,48.24,25.25,84.96,6.33,155.88,Banana
87.36,42.37,45.63,20.55,86.69,4.58,262.13,Tea
107.84,58.18,53.47,15.78,65.0,6.05,130.02,Potato
97.11,64.03,58.69,17.09,75.2,5.67,103.7,Potato
39.77,69.4,25.13,23.91,49.82,6.6,43.83,Lentil
106.04,50.91,41.25,23.59,88.06,6.19,157.79,Rice
75.44,58.41,48.98,30.36,82.26,6.7,189.07,Papaya
80.85,45.57,46.97,15.81,66.72,7.02,84.23,Wheat
43.26,64.68,70.47,28.35,79.49,6.2,73.89,Soybean
57.13,67.92,83.98,20.97,47.71,7.37,70.48,Chickpea
20.65,19.75,23.62,27.92,84.03,6.63,228.0,Coconut
25.37,130.75,226.27,19.53,72.07,5.62,107.56,Apple
33.89,126.11,211.38,17.29,61.6,6.78,109.19,Apple
90.22,45.2,46.9,26.26,67.26,6.47,113.41,Tomato
92.38,88.51,50.68,26.53,78.28,5.86,150.25,Banana
55.08,71.56,88.09,28.17,75.14,6.08,60.41,Soybean
101.95,53.84,53.04,21.57,87.12,5.86,198.81,Rice
79.46,59.09,43.03,19.77,62.04,6.58,70.07,Onion
23.65,143.85,230.2,17.08,66.75,6.71,84.78,Grapes
70.2,41.27,48.08,18.17,68.3,7.28,84.16,Wheat
51.3,59.49,40.34,34.48,71.06,6.01,168.92,Papaya
103.75,42.21,67.67,29.4,83.86,7.3,136.65,Sugarcane
98.35,59.74,40.9,19.35,70.59,6.19,81.83,Tomato
96.84,45.35,48.21,26.09,82.41,6.69,111.54,Tomato
99.64,39.08,43.77,12.11,79.71,4.54,225.82,Tea
90.32,38.57,44.63,22.37,72.93,5.75,231.04,Tea
61.58,42.53,40.98,31.02,52.0,5.8,71.77,Mango
32.41,64.03,27.9,15.39,49.51,6.54,49.11,Lentil
57.27,45.38,47.55,25.2,69.66,6.21,132.75,Papaya
27.32,12.33,26.26,29.12,74.22,5.86,212.8,Coconut
32.47,132.15,233.78,11.8,74.53,5.64,139.6,Apple
90.58,58.98,45.36,25.3,61.38,6.54,64.23,Tomato
104.14,47.78,51.15,24.04,81.66,6.1,201.51,Rice
118.74,93.96,45.86,31.86,87.04,6.37,174.81,Banana
62.67,39.08,45.36,25.68,70.58,6.45,85.7,Maize
96.81,55.14,46.64,24.7,63.8,6.13,80.74,Tomato
31.15,72.88,32.26,22.19,52.86,6.52,67.27,Lentil
71.93,59.48,50.88,17.75,64.19,6.27,95.21,Onion
100.36,95.84,57.32,25.07,90.56,6.19,198.88,Banana
80.39,43.09,44.19,18.79,77.14,5.37,201.34,Tea
32.71,132.12,205.94,20.96,76.29,6.07,56.61,Grapes
37.02,130.72,225.62,9.71,79.16,5.55,157.98,Apple
90.39,51.62,43.94,26.63,72.16,6.94,179.1,Jute
77.45,50.66,43.16,31.96,83.8,6.32,185.72,Papaya
112.05,48.21,44.6,22.84,88.26,5.84,228.67,Rice
80.12,46.07,42.17,23.31,86.77,6.81,262.38,Rice
29.18,12.8,18.58,19.38,78.22,7.13,180.49,Orange
83.29,43.21,44.33,13.58,60.97,6.17,51.16,Wheat
67.81,43.19,43.21,15.7,53.71,6.66,94.08,Onion
52.77,67.95,85.48,24.89,48.19,7.34,49.2,Chickpea
80.89,54.35,48.87,13.36,59.46,7.46,68.62,Wheat
20.35,144.88,221.74,19.74,79.09,5.73,59.46,Grapes
116.95,51.43,68.95,26.59,71.01,6.74,129.6,Sugarcane
122.66,50.49,68.82,24.01,81.19,6.23,118.19,Sugarcane
74.6,47.33,47.47,19.36,79.96,6.71,71.42,Tomato
54.15,61.24,82.95,18.05,52.62,6.67,45.37,Chickpea
30.19,70.91,27.19,15.81,43.87,6.95,56.35,Lentil
83.36,51.68,47.76,16.28,65.95,6.89,65.73,Wheat
87.4,42.67,40.03,25.18,68.0,6.55,99.79,Maize
23.91,12.34,12.2,29.4,72.33,6.84,141.58,Orange
97.12,47.26,48.25,27.93,81.31,6.72,160.96,Jute
116.38,75.7,56.43,28.81,76.56,6.93,124.7,Banana
119.73,48.44,68.22,29.08,84.28,6.91,130.94,Sugarcane
22.77,15.92,19.12,18.16,72.46,6.95,173.31,Orange
27.87,13.34,27.62,29.3,86.45,6.32,171.84,Coconut
115.16,41.44,40.35,18.87,66.34,6.43,227.39,Coffee
75.32,40.9,49.69,24.06,70.86,4.75,169.76,Tea
123.56,57.53,68.88,22.85,87.92,7.29,116.4,Sugarcane
51.12,75.59,80.32,23.73,40.8,7.33,79.68,Chickpea
27.96,144.06,228.11,5.63,78.14,6.23,146.03,Apple
37.51,128.79,221.91,15.24,75.28,6.37,81.28,Grapes
51.47,43.82,55.81,29.54,69.05,6.38,185.44,Papaya
72.17,43.53,45.81,24.27,74.91,5.52,77.76,Maize
90.78,47.13,45.45,29.13,88.03,6.16,188.14,Jute
49.44,69.92,94.64,18.61,53.36,7.34,42.31,Chickpea
35.39,71.93,26.74,17.63,42.44,6.51,63.41,Lentil
97.97,84.8,45.97,26.11,75.95,5.79,158.19,Banana
84.05,47.24,40.08,20.25,81.76,5.76,192.68,Tea
90.36,51.65,51.06,25.73,62.54,6.35,92.3,Tomato
107.46,45.36,67.22,24.08,83.59,6.09,103.47,Sugarcane
54.68,70.3,86.28,27.22,72.3,6.23,110.16,Soybean
108.07,44.54,40.08,26.74,79.38,6.69,56.05,Watermelon
81.87,48.65,56.55,24.2,73.51,6.93,49.48,Watermelon
96.81,87.31,57.46,31.05,82.43,5.81,177.51,Banana
78.14,58.95,49.28,18.53,78.23,6.33,99.21,Tomato
36.07,142.95,220.73,19.56,60.62,6.82,50.65,Grapes
63.91,51.81,41.94,28.38,67.57,7.09,120.33,Mango
26.14,69.5,28.99,22.09,52.47,6.64,68.56,Lentil
100.87,51.48,53.84,19.2,74.5,6.39,88.23,Potato
68.9,56.91,45.94,28.54,87.18,6.9,197.65,Papaya
109.45,41.43,31.34,16.05,71.93,6.27,157.96,Coffee
128.39,59.67,41.0,21.87,71.61,6.42,71.06,Cotton
118.2,50.45,45.99,24.61,70.01,6.79,68.28,Watermelon
20.7,16.78,13.46,27.41,71.23,5.9,226.84,Coconut
67.84,45.15,45.4,27.29,56.08,5.76,138.59,Mango
21.29,17.2,11.01,24.35,67.12,7.18,123.37,Orange
106.7,30.26,47.43,19.02,66.86,6.14,193.95,Coffee
24.67,72.51,34.94,17.19,41.2,6.13,64.24,Lentil
79.01,49.7,49.53,18.36,50.8,6.5,73.53,Wheat
72.62,52.62,50.08,22.74,83.17,6.03,106.4,Tomato
115.18,69.31,56.83,16.69,60.14,6.18,137.78,Potato
51.51,62.46,93.8,23.12,40.86,7.01,56.59,Chickpea
21.71,14.26,11.87,26.6,69.49,6.53,136.11,Orange
64.33,55.18,50.01,24.12,52.93,6.65,61.64,Onion
116.35,45.21,43.53,17.71,63.68,6.76,197.42,Coffee
22.11,13.13,11.79,28.53,67.94,6.37,144.84,Orange
92.05,41.97,35.94,17.7,74.86,6.05,240.29,Coffee
88.68,40.2,43.9,22.42,83.76,6.38,85.46,Tomato
35.14,62.07,24.62,18.94,43.4,6.49,58.85,Lentil
59.97,61.43,70.87,22.17,79.42,7.47,99.3,Soybean
26.76,18.59,19.63,24.43,63.68,6.16,181.29,Orange
95.5,59.92,50.16,21.11,64.65,6.0,90.55,Tomato
82.87,58.19,56.22,18.39,72.12,5.86,95.25,Potato
59.21,63.94,89.03,29.95,74.23,7.47,94.17,Soybean
28.49,10.45,24.68,27.39,79.57,6.89,183.2,Coconut
58.3,79.78,87.48,29.98,64.89,7.26,109.38,Soybean
114.41,44.46,31.35,21.37,70.87,6.08,195.83,Coffee
109.94,50.17,63.15,26.71,85.08,6.17,146.78,Sugarcane
82.9,69.08,54.47,19.61,68.52,6.49,118.78,Potato
79.9,48.16,45.61,22.31,54.84,6.17,76.49,Onion
97.39,44.93,56.38,30.4,73.89,6.27,63.61,Watermelon
23.83,11.52,23.33,26.99,81.72,6.38,194.57,Coconut
87.27,43.67,46.08,23.67,84.32,5.94,241.78,Rice
71.62,54.89,41.56,19.91,69.55,7.19,82.97,Wheat
75.57,55.13,52.21,28.64,66.3,6.78,148.64,Papaya
24.3,16.73,15.51,27.14,85.78,6.17,229.84,Coconut
90.6,53.44,41.04,20.8,80.04,7.0,270.34,Rice
77.57,45.1,39.21,22.63,84.57,5.66,248.42,Tea
70.13,43.34,54.26,24.0,84.15,6.76,117.05,Tomato
77.83,41.89,47.42,32.09,66.78,6.66,116.42,Papaya
113.55,51.95,77.32,29.47,72.12,6.23,194.47,Sugarcane
87.52,37.11,45.68,19.99,60.1,6.76,153.53,Coffee
26.2,16.5,11.52,15.92,75.62,6.69,105.82,Orange
145.19,48.2,70.5,24.77,78.95,7.16,152.68,Sugarcane
85.54,53.09,42.16,12.67,59.66,6.77,91.46,Wheat
63.59,58.91,53.54,28.02,65.65,6.3,109.3,Papaya
24.45,79.99,23.43,22.72,44.47,6.08,75.0,Lentil
118.77,47.56,41.24,26.71,70.12,6.16,66.32,Watermelon
82.19,49.46,34.52,17.74,66.08,6.23,150.15,Coffee
37.53,144.93,214.73,19.49,74.44,6.83,79.65,Grapes
89.66,84.71,41.48,25.24,84.37,6.1,113.69,Banana
56.06,44.3,40.24,25.93,74.4,7.1,146.77,Mango
33.87,75.42,33.09,16.52,57.52,6.54,51.3,Lentil
83.68,40.6,47.94,23.14,83.83,6.52,109.15,Tomato
118.19,42.57,53.95,23.54,80.26,6.89,277.78,Rice
83.73,41.04,41.75,18.85,54.54,7.26,63.96,Wheat
114.33,46.9,37.19,21.19,66.26,6.06,220.16,Coffee
48.11,63.38,89.55,28.53,69.97,6.9,73.64,Soybean
70.5,52.58,40.11,17.63,69.41,6.66,61.75,Wheat
47.34,75.22,79.71,22.01,62.49,6.52,68.25,Soybean
36.6,133.31,210.33,18.01,73.39,6.17,148.79,Apple
81.07,51.84,63.72,17.14,77.3,6.19,80.57,Potato
95.1,44.97,48.64,24.01,70.74,6.44,63.94,Tomato
63.49,56.74,51.45,34.99,68.61,6.28,115.97,Papaya
52.99,54.06,43.65,28.88,68.15,6.13,136.31,Mango
50.6,66.43,71.5,28.96,76.05,6.21,106.61,Soybean
63.18,44.74,53.55,28.53,73.23,6.27,75.29,Mango
89.13,37.64,43.08,15.68,72.07,6.93,235.04,Coffee
86.96,36.75,30.36,18.6,71.0,6.62,216.35,Coffee
124.03,42.1,64.84,29.87,72.85,6.75,161.82,Sugarcane
21.35,136.64,213.84,14.31,60.91,6.81,197.35,Apple
101.94,43.88,70.73,29.35,86.7,7.26,130.32,Sugarcane
139.39,57.56,57.9,26.93,60.34,7.34,77.49,Cotton
84.44,36.2,47.9,22.93,71.35,6.18,92.18,Maize
32.88,132.62,202.18,20.99,78.05,6.07,60.82,Grapes
32.54,126.47,207.59,18.38,61.56,5.79,95.56,Grapes
95.85,65.16,63.92,15.77,76.32,5.72,95.67,Potato
71.26,42.81,40.32,17.95,64.47,6.2,91.8,Wheat
109.83,54.05,69.16,16.84,66.54,5.65,101.39,Potato
52.98,51.91,41.61,31.52,68.88,6.67,136.28,Mango
86.94,47.47,48.35,26.4,73.13,6.92,56.02,Watermelon
37.94,133.78,209.36,19.12,74.32,5.66,63.52,Grapes
80.78,41.35,44.3,31.78,81.17,6.37,238.87,Jute
29.93,130.69,205.35,14.44,61.09,6.62,131.76,Apple
111.4,44.24,72.22,24.11,86.8,7.35,135.34,Sugarcane
100.0,54.24,47.13,23.29,50.39,6.81,111.07,Cotton
25.15,135.88,229.58,21.05,67.84,5.68,89.04,Grapes
65.11,40.77,36.94,21.89,70.64,6.23,99.7,Maize
73.38,46.17,52.15,16.85,62.54,6.17,53.19,Onion
65.26,48.72,38.38,21.45,65.38,5.57,68.31,Maize
40.01,77.41,95.85,22.39,55.01,6.23,58.33,Chickpea
52.53,59.69,53.33,27.85,77.57,6.11,196.58,Papaya
72.42,46.28,47.51,12.57,51.6,6.53,97.09,Wheat
73.38,58.68,43.67,20.27,70.17,6.38,107.68,Tomato
34.45,128.81,217.69,6.07,67.79,6.61,138.64,Apple
113.81,85.76,53.83,31.18,84.91,5.97,175.37,Banana
77.42,48.93,39.93,25.59,63.92,6.56,96.59,Maize
24.75,18.98,15.25,25.61,65.04,6.67,112.34,Orange
67.48,41.16,45.11,20.06,56.54,5.93,68.06,Maize
82.47,39.08,32.35,20.27,73.42,6.37,86.67,Maize
117.23,40.11,54.96,26.32,81.4,5.64,213.69,Rice
79.7,56.74,47.47,23.75,54.27,6.33,57.54,Onion
82.96,57.91,55.79,16.95,61.99,6.33,50.46,Onion
41.67,64.22,85.05,20.51,69.85,6.66,80.06,Soybean
119.06,89.37,58.69,27.12,90.64,6.65,169.17,Banana
95.55,57.28,48.14,24.86,63.6,6.01,61.2,Tomato
109.0,48.72,52.6,26.72,66.02,6.58,59.93,Watermelon
22.86,138.84,208.25,18.92,77.91,5.81,75.39,Grapes
26.59,125.84,219.85,13.17,63.37,6.64,198.49,Apple
50.4,66.74,96.58,21.02,44.97,6.93,68.27,Chickpea
97.78,55.13,53.81,18.35,60.01,6.31,85.55,Potato
73.35,59.99,56.7,23.93,66.46,6.1,61.37,Onion
41.08,70.33,80.09,21.5,62.08,6.19,66.06,Soybean
105.57,54.71,64.27,19.37,62.54,6.37,121.55,Potato
92.97,48.82,54.33,21.48,65.28,6.63,118.56,Tomato
70.09,59.41,43.51,30.97,72.73,6.45,125.41,Papaya
102.31,63.03,53.08,18.23,63.65,6.25,103.74,Potato
27.36,13.01,19.27,29.2,73.43,6.61,180.26,Coconut
26.47,73.3,31.13,18.43,42.69,6.09,73.26,Lentil
35.57,62.62,32.02,15.34,49.95,6.15,47.32,Lentil
33.12,132.7,233.46,24.5,76.11,6.07,89.43,Grapes
111.7,46.45,48.76,23.77,79.55,7.22,69.88,Cotton
107.03,49.21,35.07,22.87,78.48,6.67,243.13,Coffee
20.82,14.32,18.28,22.1,76.59,7.09,120.94,Orange
21.81,17.12,13.85,21.03,75.67,7.44,112.67,Orange
30.63,135.81,225.5,15.89,79.52,6.27,132.3,Apple
96.55,44.43,49.27,22.23,81.84,6.76,90.78,Tomato
119.58,48.25,73.91,20.03,82.39,6.53,179.42,Sugarcane
63.33,45.84,35.35,25.38,74.91,5.61,83.65,Maize
84.3,38.82,43.63,24.84,66.91,6.21,80.59,Maize
110.85,63.23,58.19,19.48,63.25,6.5,88.32,Potato
71.75,43.84,35.51,19.58,70.49,6.92,65.02,Maize
21.46,126.79,226.08,19.87,75.81,6.87,69.42,Grapes
26.24,11.17,19.4,24.42,66.7,6.21,179.4,Orange
63.01,58.64,47.49,15.81,57.75,6.6,75.68,Onion
52.06,43.07,51.45,26.22,73.03,6.67,117.43,Mango
40.65,44.66,55.15,28.69,69.57,6.99,74.05,Mango
45.18,47.15,45.81,28.92,72.57,7.42,122.29,Mango
28.53,143.79,217.14,18.58,68.81,6.28,81.6,Grapes
60.42,51.34,58.65,21.66,66.45,6.01,77.1,Onion
62.33,52.39,56.06,27.45,69.65,6.42,145.28,Mango
47.44,74.41,81.1,24.23,71.32,6.55,116.17,Soybean
63.87,49.13,45.43,18.52,51.89,6.43,99.16,Onion
105.73,51.16,43.7,21.35,51.08,7.25,95.49,Cotton
84.7,43.79,38.18,16.86,68.06,6.08,219.54,Coffee
115.27,48.84,44.79,15.78,73.38,6.41,197.07,Coffee
66.52,43.06,54.56,31.0,81.94,6.77,197.54,Papaya
107.39,33.25,48.22,22.4,79.0,6.73,211.34,Coffee
111.46,56.05,59.94,21.27,76.92,6.93,118.4,Cotton
28.98,19.47,13.97,18.26,67.47,6.5,117.62,Orange
76.61,48.93,48.72,12.38,57.71,6.24,84.77,Wheat
81.29,58.47,50.9,20.43,77.56,6.66,119.35,Tomato
90.78,75.73,53.89,26.53,86.91,5.9,166.2,Banana
57.07,64.84,87.53,20.19,74.65,7.4,99.43,Soybean
44.41,46.85,57.29,25.24,52.07,6.47,94.19,Mango
144.06,41.56,74.14,29.2,75.41,6.56,156.89,Sugarcane
105.05,54.04,54.84,27.17,89.82,6.16,175.35,Jute
26.97,63.58,32.94,19.64,49.91,6.43,78.24,Lentil
94.66,49.66,53.77,27.05,85.3,6.6,242.7,Jute
27.43,128.9,204.57,16.1,75.4,6.95,177.34,Apple
94.21,46.22,52.63,25.84,70.11,6.65,170.25,Jute
100.87,86.18,50.35,25.06,75.03,5.65,110.16,Banana
93.7,46.36,35.81,15.1,88.72,4.75,156.32,Tea
24.67,130.27,201.51,6.85,79.73,5.97,111.53,Apple
79.29,53.88,50.25,18.05,54.25,6.03,65.2,Onion
84.23,89.94,45.72,26.39,93.73,5.53,143.78,Banana
87.59,49.9,30.9,24.85,62.43,6.09,97.71,Maize
141.71,46.08,69.38,28.74,71.05,7.33,121.92,Sugarcane
21.04,125.2,200.89,5.13,62.21,5.86,122.12,Apple
108.59,50.33,54.72,26.01,77.87,6.57,87.82,Cotton
49.03,67.68,88.65,24.85,41.77,7.38,59.21,Chickpea
24.0,62.26,36.85,17.59,45.69,6.96,55.16,Lentil
75.24,49.43,59.58,31.34,63.79,6.68,132.51,Papaya
81.89,47.45,49.88,13.09,63.9,6.61,71.41,Wheat
29.83,16.43,24.35,31.84,77.54,6.7,193.45,Coconut
69.8,46.99,51.93,17.74,50.53,6.74,81.28,Onion
90.67,57.9,53.99,24.62,67.26,6.3,106.98,Tomato
76.41,41.4,44.27,13.03,68.95,6.71,65.86,Wheat
64.2,42.7,34.85,19.66,56.3,6.64,81.37,Maize
82.87,41.89,51.66,24.41,66.74,6.75,51.77,Watermelon
49.54,72.85,80.77,22.35,55.56,6.75,54.3,Chickpea
117.54,31.08,30.24,20.95,65.79,6.25,183.09,Coffee
116.71,56.36,60.77,28.71,80.25,6.6,149.72,Sugarcane
60.2,54.5,41.31,28.15,76.18,6.79,131.88,Papaya
49.86,69.44,89.81,23.93,56.64,6.61,53.33,Chickpea
93.93,64.2,57.28,19.17,69.09,6.22,87.52,Potato
113.95,40.23,44.13,16.73,73.77,6.27,233.21,Coffee
73.02,43.38,42.51,18.8,61.22,6.79,55.74,Wheat
23.58,67.84,38.96,16.41,55.27,6.11,79.25,Lentil
87.89,41.95,43.34,31.39,76.43,6.35,66.23,Watermelon
82.32,58.38,48.48,18.42,69.23,6.44,74.45,Onion
25.8,19.04,13.2,25.05,63.76,6.94,133.65,Orange
25.78,62.81,23.13,21.39,57.46,6.41,46.78,Lentil
89.9,55.02,52.89,18.55,50.98,6.03,77.71,Onion
112.97,47.94,43.13,25.17,83.6,6.51,190.6,Rice
113.79,48.63,47.58,31.32,65.02,6.84,59.36,Watermelon
81.29,49.26,34.89,24.72,65.42,5.9,98.83,Maize
76.17,44.83,40.93,23.27,81.08,5.3,179.32,Tea
58.83,47.51,42.82,29.67,71.36,6.87,71.43,Mango
78.37,46.61,46.34,18.2,50.68,6.89,59.34,Wheat
92.84,44.96,41.35,28.5,79.58,6.1,211.25,Jute
32.19,132.36,216.63,23.32,66.2,6.91,58.98,Grapes
66.02,57.78,46.44,15.13,66.87,6.94,82.78,Onion
107.67,89.84,40.77,27.58,94.58,6.13,150.19,Banana
34.36,139.86,202.03,8.32,65.49,6.32,114.45,Apple
47.22,77.24,78.49,29.16,69.96,6.6,105.02,Soybean
45.74,72.34,99.62,22.42,45.2,6.95,61.6,Chickpea
138.8,57.3,52.02,27.31,58.56,6.95,87.34,Cotton
85.34,71.44,55.51,28.99,90.21,5.72,157.18,Banana
67.19,44.99,45.44,30.08,61.24,7.05,75.23,Mango
24.4,130.64,217.74,16.71,77.47,6.56,54.26,Grapes
23.45,137.03,228.49,9.76,70.79,6.54,142.13,Apple
99.04,49.83,45.41,16.89,70.03,6.23,190.96,Coffee
91.86,51.54,53.4,15.63,62.47,6.02,97.21,Potato
22.57,136.57,227.74,22.01,75.07,6.81,75.0,Grapes
27.55,19.33,12.2,27.55,73.8,7.3,179.69,Orange
54.05,65.96,82.11,23.47,52.88,6.07,54.4,Chickpea
80.3,40.96,43.56,16.81,61.12,6.61,71.45,Wheat
73.19,39.84,45.37,13.32,75.39,4.86,298.75,Tea
71.33,54.3,42.82,15.06,51.83,6.17,86.34,Wheat
